,Host 5,Host 6,Host 7,Host 8,Host 9,Host 10,Host 11,Host 12
1,9.88333333333333,9.92333333333333,9.84666666666667,9.91,9.88333333333333,9.92333333333333,9.85333333333333,9.93333333333333
2,9.92333333333333,9.93666666666667,9.93,9.93,9.95,9.93666666666667,9.94,9.92666666666667
3,9.94333333333333,9.93333333333333,9.95,9.91333333333333,9.94,9.91666666666667,9.90666666666667,9.94333333333333
4,9.82666666666667,9.86,9.80666666666667,9.89333333333333,9.85666666666667,9.86333333333333,9.78333333333333,9.87
5,9.82666666666667,9.85666666666667,9.73,9.88333333333333,9.81666666666667,9.85666666666667,9.71333333333333,9.88666666666667
6,9.97333333333333,9.91666666666667,9.98,9.90666666666667,9.96,9.92,9.98333333333333,9.91666666666667
7,10.9333333333333,9.43,9.93666666666667,9.42333333333333,10.9333333333333,9.43,9.94333333333333,9.40666666666667
8,11.7,9.08666666666667,9.86333333333334,9.08,11.7,9.09,9.87333333333333,9.07
9,12.3333333333333,8.83333333333333,9.67,8.83333333333333,12.3,8.84333333333333,9.68333333333334,8.84
10,12.8666666666667,8.65333333333333,9.5,8.64666666666667,12.4333333333333,8.86666666666667,9.52333333333333,8.86
11,13.1333333333333,8.51666666666667,9.15333333333333,8.51,12.3666666666667,8.84666666666667,9.19,8.84666666666667
12,13.6666666666667,8.38,9.26,8.38,12.7,8.83666666666667,9.35333333333333,8.83666666666667
13,13.8,8.31333333333333,8.80666666666667,8.3,12.6333333333333,8.84,8.96666666666667,8.84333333333333
14,14.2666666666667,8.23333333333333,8.93,8.23666666666667,12.8666666666667,8.83666666666667,9.16333333333333,8.82333333333333
15,14.5666666666667,8.19666666666667,8.85333333333333,8.19,12.9333333333333,8.84333333333333,9.17,8.83333333333333
16,14.5,8.16,8.49333333333333,8.16333333333333,12.7333333333333,8.83333333333333,8.85,8.81666666666667
17,14.8,8.11333333333333,8.66,8.12666666666667,13.0333333333333,8.82666666666667,9.12333333333333,8.83
18,14.9333333333333,8.10666666666667,8.54333333333333,8.1,12.9666666666667,8.83666666666667,9.04,8.84333333333333
19,15.1333333333333,8.08333333333333,8.45666666666667,8.07666666666667,13.1,8.83666666666667,9.03,8.83666666666667
20,15.1666666666667,8.05666666666667,8.31666666666667,8.06333333333333,13,8.83,8.88333333333333,8.81666666666667
21,15.4,8.04333333333333,8.34333333333333,8.05,13.2,8.83333333333333,8.97333333333333,8.84
22,15.3333333333333,8.03333333333333,8.26666666666667,8.03,13.1333333333333,8.84,8.93333333333333,8.83
23,15.5,8.02666666666667,8.23,8.01333333333333,13.2,8.84,8.92333333333333,8.83333333333333
24,15.5333333333333,8.01,8.18,8.01666666666667,13.1666666666667,8.84333333333333,8.89666666666667,8.84666666666667
25,15.5333333333333,8.01666666666667,8.14666666666667,8.00666666666667,13.1666666666667,8.84333333333333,8.88333333333333,8.84333333333333
26,15.6333333333333,8.00333333333333,8.12666666666667,8.00333333333333,13.1666666666667,8.84666666666667,8.89,8.83666666666667
27,15.6666666666667,7.99333333333333,8.10333333333333,7.99333333333333,13.2,8.83666666666667,8.87333333333333,8.84333333333333
28,15.3666666666667,7.98666666666667,7.99,7.99333333333333,12.9,8.82333333333333,8.66,8.83
29,15.4333333333333,7.95,7.92666666666667,7.94,13,8.75666666666667,8.71333333333333,8.77333333333333
30,15.6666666666667,7.93333333333333,8.05333333333333,7.93333333333333,13.1,8.78,8.86333333333333,8.78333333333333
31,15.4666666666667,7.93,8.00666666666667,7.92333333333333,13.0333333333333,8.77,8.75,8.77333333333333
32,15.9,7.92666666666667,8.03666666666667,7.92333333333333,13.3,8.79333333333333,8.89333333333333,8.78333333333333
33,15.9,7.95,8.04,7.96,13.2666666666667,8.79666666666667,8.87666666666667,8.81333333333333
34,15.9,7.95,8.00333333333333,7.93666666666667,13.3,8.81,8.85333333333333,8.80666666666667
35,15.8333333333333,7.95,7.99333333333333,7.95666666666667,13.2666666666667,8.84,8.85,8.82
36,15.9,7.95,7.98333333333333,7.95333333333333,13.3,8.84333333333333,8.85,8.83666666666667
37,15.8333333333333,7.96333333333333,7.89333333333333,7.97666666666667,13.2333333333333,8.85333333333333,8.75333333333333,8.85666666666667
38,15.7666666666667,7.93666666666667,7.91666666666667,7.94333333333333,13.2,8.81333333333333,8.74,8.81333333333333
